reporting_week,reporting_date,product_pillar,product_grouping,daily_actual_gross_revenue,estimated_fy26_budget,estimated_fy26_2_10_forecast,[DROPPED] 5+7,[DROPPED] 8+4
10/6/25,10/8/25,Money Management,Other BaaS Products,-5051.03,0,0,,
10/31/22,11/6/22,Money Management,Other BaaS Products,-6211.45,,,,
4/29/24,5/3/24,Money Management,Other BaaS Products,-11074.17,,,,
7/31/23,7/31/23,Money Management,Financial Accounts,1819810.04,,,,
1/19/26,1/22/26,Money Management,Other BaaS Products,-2298.53,0,0,,
8/14/23,8/15/23,Money Management,Other BaaS Products,-7756.99,,,,
6/24/24,6/27/24,Money Management,Other BaaS Products,-8147.07,,,,
7/4/22,7/8/22,Money Management,Other BaaS Products,-8808.57,,,,
1/12/26,1/15/26,Money Management,Mass Payouts,11278.99792,0,0,,
3/10/25,3/10/25,Money Management,Other BaaS Products,-4166.7,0,0,,
2/17/25,2/21/25,Money Management,Other BaaS Products,-4693.86,0,0,,
2/17/25,2/22/25,Money Management,Mass Payouts,39,0,0,,
10/27/25,10/27/25,Money Management,Other BaaS Products,-2500.49,0,0,,
7/28/25,7/30/25,Money Management,Other BaaS Products,-2696.27,0,0,,
7/8/24,7/9/24,Money Management,Mass Payouts,43.25,,,,
9/2/24,9/4/24,Money Management,Mass Payouts,45.25,,,,
11/10/25,11/14/25,Money Management,Mass Payouts,3086.326524,0,0,,
3/18/24,3/19/24,Money Management,Other BaaS Products,-5987.73,,,,
4/13/26,4/13/26,Money Management,Mass Payouts,27124.47503,0,0,,
8/16/21,8/22/21,Money Management,Other BaaS Products,-9306.97,,,,
4/10/23,4/16/23,Money Management,Other BaaS Products,-6534.8,,,,
11/17/25,11/18/25,Money Management,Other BaaS Products,-2844.72,0,0,,
10/11/21,10/15/21,Money Management,Other BaaS Products,-9738.81,,,,
3/13/23,3/18/23,Money Management,Other BaaS Products,-6249.78,,,,
12/22/25,12/27/25,Money Management,Faster Payouts,84110.77659,0,0,,
4/6/26,4/10/26,Money Management,Financial Accounts,-92463.81987,0,0,,
3/16/26,3/20/26,Money Management,Other BaaS Products,-3871.27,0,0,,
3/7/22,3/9/22,Money Management,Other BaaS Products,-13581.35,,,,
10/20/25,10/22/25,Money Management,Financial Accounts,-5376.646585,0,0,,
5/12/25,5/16/25,Money Management,Other BaaS Products,-4689.7,0,0,,
1/12/26,1/14/26,Money Management,Other BaaS Products,-3187.65,0,0,,
8/28/23,8/31/23,Money Management,Other BaaS Products,275131.09,,,,
3/17/25,3/22/25,Money Management,Mass Payouts,19,0,0,,
9/8/25,9/9/25,Money Management,Financial Accounts,-374462.0493,0,0,,
1/12/26,1/15/26,Money Management,Financial Accounts,-5378.073098,0,0,,
6/9/25,6/10/25,Money Management,Other BaaS Products,-3670.08,0,0,,
1/10/22,1/16/22,Money Management,Other BaaS Products,-7259.25,,,,
2/6/23,2/7/23,Money Management,Other BaaS Products,-7245.53,,,,
9/1/25,9/4/25,Money Management,Other BaaS Products,-2909.23,0,0,,
