reporting_week,reporting_date,product_pillar,product_grouping,daily_actual_net_revenue,estimated_fy26_budget,estimated_fy26_2_10_forecast
2025-11-03,2025-11-06,Money Management,Financial Accounts,-2397792.146,0,0
2023-08-07,2023-08-09,Money Management,Other BaaS Products,-7189.1,,
2023-06-26,2023-06-27,Money Management,Other BaaS Products,-8126.07,,
2025-08-18,2025-08-21,Money Management,Faster Payouts,23265.32978,0,0
2025-01-13,2025-01-14,Money Management,Mass Payouts,378,0,0
2024-10-14,2024-10-15,Money Management,Mass Payouts,171.75,,
2025-05-19,2025-05-23,Money Management,Mass Payouts,2985.9216,0,0
2025-12-01,2025-12-06,Money Management,Financial Accounts,25754.58568,0,0
2025-11-10,2025-11-14,Money Management,Financial Accounts,-286177.76,0,0
2024-12-16,2024-12-21,Money Management,Financial Accounts,-28.9,,
2025-12-15,2025-12-15,Money Management,Financial Accounts,-4581.945686,0,0
2021-06-28,2021-06-30,Money Management,Other BaaS Products,154755.6808,,
2026-02-16,2026-02-20,Money Management,Mass Payouts,18588.25481,0,0
2025-06-09,2025-06-15,Money Management,Mass Payouts,508.0003359,0,0
2025-07-07,2025-07-09,Money Management,Other BaaS Products,-3439.3,0,0
2022-06-13,2022-06-17,Money Management,Other BaaS Products,-8783.44,,
2021-12-13,2021-12-19,Money Management,Other BaaS Products,-8742.95,,
2021-08-16,2021-08-18,Money Management,Other BaaS Products,-11050.68,,
2024-12-02,2024-12-05,Money Management,Mass Payouts,415.5,,
2024-03-11,2024-03-14,Money Management,Other BaaS Products,-7007.36,,
2025-09-08,2025-09-08,Money Management,Mass Payouts,1949.101561,0,0
2022-08-01,2022-08-02,Money Management,Financial Accounts,0,,
2025-08-04,2025-08-08,Money Management,Faster Payouts,21941.44611,0,0
2025-07-28,2025-08-02,Money Management,Faster Payouts,26035.50416,0,0
2025-09-08,2025-09-14,Money Management,Faster Payouts,14577.76034,0,0
2021-10-04,2021-10-08,Money Management,Other BaaS Products,-12591.75,,
2026-04-20,2026-04-21,Money Management,Other BaaS Products,-3373.33,0,0
2025-04-21,2025-04-24,Money Management,Faster Payouts,13831.41108,0,0
2021-08-02,2021-08-07,Money Management,Other BaaS Products,-10396.57,,
2025-08-18,2025-08-24,Money Management,Financial Accounts,-5079.19,0,0
2023-08-21,2023-08-22,Money Management,Financial Accounts,0,,
2024-09-02,2024-09-06,Money Management,Other BaaS Products,-5782.09,,
