reporting_week,reporting_date,product_pillar,product_group,gross_revenue_actual,net_revenue_actual,gross_revenue_budget,net_revenue_budget,gross_revenue_2_10_forecast,net_revenue_2_10_forecast
2023-05-01,2023-05-01,Money Management,issuing,187346.9591,97799.33982,,,,
2023-03-06,2023-03-07,Money Management,issuing,294890.5764,141280.3278,,,,
2026-03-23,2026-03-29,Money Management,issuing,530029.3382,249662.7723,592066.1613,264265.9473,588332.0646,273826.6069
2024-10-28,2024-11-02,Money Management,issuing,678476.8681,354084.9706,,,,
2026-10-26,2026-10-28,Money Management,issuing,,,712414.7941,316870.9904,692519.2434,326392.6092
2026-04-27,2026-05-01,Money Management,issuing,,,661771.5812,292322.0746,649545.2578,303401.8327
2025-06-16,2025-06-19,Money Management,issuing,554599.3819,228953.929,,,,
2024-05-13,2024-05-18,Money Management,issuing,453548.1591,216363.9808,,,,
2026-11-30,2026-12-05,Money Management,issuing,,,858863.4074,397488.3763,813167.8106,384463.8784
2023-11-06,2023-11-09,Money Management,issuing,383047.5543,193102.1345,,,,
2023-04-24,2023-04-30,Money Management,issuing,257325.3497,136696.4575,,,,
2023-04-10,2023-04-12,Money Management,issuing,318741.2368,169321.8254,,,,
2025-05-05,2025-05-11,Money Management,issuing,419407.6481,217679.4464,,,,
2025-04-28,2025-05-02,Money Management,issuing,759076.0397,393972.9111,,,,
2025-07-28,2025-08-02,Money Management,issuing,972525.8807,425375.8436,,,,
2023-05-29,2023-05-29,Money Management,issuing,160093.2664,83572.2973,,,,
2026-09-07,2026-09-09,Money Management,issuing,,,718817.3328,333319.3847,715870.1639,337624.237
2025-12-01,2025-12-06,Money Management,issuing,773160.6132,352655.6743,,,,
2026-02-02,2026-02-08,Money Management,issuing,523375.828,245721.6873,559016.5843,253603.9809,,
2025-03-31,2025-04-02,Money Management,issuing,885294.5911,399163.5522,,,,
2024-11-25,2024-11-30,Money Management,issuing,471864.1848,246257.4981,,,,
2024-11-11,2024-11-11,Money Management,issuing,322375.089,168241.8064,,,,
2026-10-12,2026-10-16,Money Management,issuing,,,806121.5573,358550.2973,783609.0653,369324.3326
2026-05-04,2026-05-06,Money Management,issuing,,,653538.0313,288685.097,641463.8238,299627.0043
2024-12-23,2024-12-28,Money Management,issuing,367958.09,166509.8202,,,,
2025-10-27,2025-10-27,Money Management,issuing,540465.8387,230187.7044,,,,
2023-01-02,2023-01-06,Money Management,issuing,280086.7442,104048.8237,,,,
2024-04-08,2024-04-11,Money Management,issuing,458359.508,250468.8194,,,,
2026-06-01,2026-06-04,Money Management,issuing,,,696861.3417,314322.5197,694715.5153,322167.9606
2023-11-27,2023-12-02,Money Management,issuing,464675.3503,153707.9605,,,,
2023-02-27,2023-03-02,Money Management,issuing,415142.5367,198892.3295,,,,
2026-07-27,2026-07-28,Money Management,issuing,,,622877.1617,283015.8156,617202.1477,288024.7322
2025-04-21,2025-04-22,Money Management,issuing,489016.9863,220489.0432,,,,
2024-10-21,2024-10-23,Money Management,issuing,505381.1255,197312.6946,,,,
2024-03-18,2024-03-23,Money Management,issuing,426388.7207,215240.3147,,,,
2024-08-19,2024-08-22,Money Management,issuing,448466.6037,209079.9064,,,,
2024-04-29,2024-05-03,Money Management,issuing,628219.0649,299690.2863,,,,
2024-06-17,2024-06-17,Money Management,issuing,312085.6055,158647.3957,,,,
2023-01-23,2023-01-26,Money Management,issuing,245527.6559,91210.54215,,,,
2025-02-10,2025-02-10,Money Management,issuing,455475.6138,239475.9823,,,,
2024-09-09,2024-09-14,Money Management,issuing,476807.9655,214603.9477,,,,
2025-08-25,2025-08-27,Money Management,issuing,576127.2127,251993.9099,,,,
2025-03-10,2025-03-12,Money Management,issuing,552268.3453,230393.4576,,,,
2025-03-10,2025-03-10,Money Management,issuing,435990.0017,181884.8479,,,,
2026-08-24,2026-08-27,Money Management,issuing,,,626381.307,286481.8467,624462.1826,292252.7687
2023-08-14,2023-08-17,Money Management,issuing,378526.8945,260202.9279,,,,
2025-07-07,2025-07-12,Money Management,issuing,577019.0529,261032.5019,,,,
2025-07-07,2025-07-09,Money Management,issuing,607265.6253,274715.479,,,,
2023-06-26,2023-06-28,Money Management,issuing,293285.9581,159177.5634,,,,
2025-06-23,2025-06-24,Money Management,issuing,509955.5327,210523.7161,,,,
2024-06-10,2024-06-15,Money Management,issuing,477088.4716,242525.9038,,,,
2025-05-05,2025-05-09,Money Management,issuing,613697.572,318519.1026,,,,
2026-07-06,2026-07-09,Money Management,issuing,,,697784.1521,317051.199,691426.6629,322662.4861
2026-01-26,2026-01-31,Money Management,issuing,709041.2194,312003.4834,556237.4893,249419.3005,,
2025-12-01,2025-12-05,Money Management,issuing,786095.2523,358555.4496,,,,
2026-11-09,2026-11-10,Money Management,issuing,,,805267.1178,373433.7802,777878.6326,348470.2
2025-11-03,2025-11-04,Money Management,issuing,691954.1167,346844.7567,,,,
2023-09-04,2023-09-07,Money Management,issuing,343393.8168,121480.4352,,,,
2024-01-29,2024-02-01,Money Management,issuing,408190.3994,216808.4097,,,,
2023-01-30,2023-02-01,Money Management,issuing,287905.8142,104640.5827,,,,
2025-10-20,2025-10-20,Money Management,issuing,452815.4475,192856.867,,,,
2024-12-30,2025-01-04,Money Management,issuing,426988.2445,140333.4824,,,,
2024-09-09,2024-09-10,Money Management,issuing,441207.7066,198580.8176,,,,
2025-08-25,2025-08-29,Money Management,issuing,637599.9832,278881.6587,,,,
2023-12-04,2023-12-09,Money Management,issuing,395078.8372,130686.4293,,,,
2025-03-24,2025-03-27,Money Management,issuing,543866.8595,226888.5539,,,,
2026-09-07,2026-09-13,Money Management,issuing,,,755352.1707,350260.7815,752255.2081,354784.4336
2026-11-02,2026-11-03,Money Management,issuing,,,921373.0821,427276.6457,890035.6385,398713.7375
2026-02-02,2026-02-03,Money Management,issuing,773958.7556,363368.8092,637780.7664,289336.2126,,
2025-03-31,2025-04-06,Money Management,issuing,425188.3269,191709.8383,,,,
2026-05-04,2026-05-09,Money Management,issuing,,,674945.2613,298141.2388,662475.5522,309441.5581
2024-01-15,2024-01-15,Money Management,issuing,231017.7329,132339.2727,,,,
2024-01-08,2024-01-13,Money Management,issuing,393698.5041,225531.4908,,,,
2024-07-15,2024-07-15,Money Management,issuing,323820.4928,158959.9067,,,,
2023-02-06,2023-02-10,Money Management,issuing,297479.1997,108120.0701,,,,
2025-10-27,2025-10-30,Money Management,issuing,619834.9313,263991.4862,,,,
2024-06-17,2024-06-23,Money Management,issuing,300128.668,152569.1371,,,,
2023-01-09,2023-01-15,Money Management,issuing,170535.4379,63351.84396,,,,
2024-04-15,2024-04-15,Money Management,issuing,280790.6102,153436.9668,,,,
2025-02-10,2025-02-14,Money Management,issuing,588751.4296,309548.5743,,,,
