reporting_week,reporting_date,product_pillar,product_grouping,daily_actual_net_revenue,estimated_fy25_2_10_forecast,estimated_fy25_5_7_forecast,estimated_fy25_8_4_forecast,estimated_fy25_budget,[DROPPED] rtbr_week,estimated_fy26_budget
10/20/25,10/25/25,Money Management,Financial Accounts,-6212.01,0,0,0,0,,0
4/15/24,4/17/24,Money Management,Other BaaS Products,-7220.24,0,0,0,0,,null
1/13/25,1/17/25,Money Management,Other BaaS Products,-9077.35,0,0,0,0,,0
5/26/25,5/28/25,Money Management,Faster Payouts,17855.44311,0,0,0,0,,0
9/15/25,9/16/25,Money Management,Bridge,0,0,0,0,0,,0
3/16/26,3/21/26,Money Management,Faster Payouts,null,0,0,0,0,,0
10/30/23,11/3/23,Money Management,Other BaaS Products,-11297.17,0,0,0,0,,null
9/29/25,10/4/25,Money Management,Faster Payouts,27792.80278,0,0,0,0,,0
8/18/25,8/24/25,Money Management,Faster Payouts,12569.97202,0,0,0,0,,0
9/29/25,9/30/25,Money Management,Faster Payouts,289478.3216,0,0,0,0,,1398338.415
2/23/26,2/24/26,Money Management,Mass Payouts,18977.65806,0,0,0,0,,0
7/7/25,7/12/25,Money Management,Financial Accounts,-5376.81289,0,0,0,0,,0
8/15/22,8/16/22,Money Management,Other BaaS Products,-10393.51,0,0,0,0,,null
3/10/25,3/12/25,Money Management,Other BaaS Products,-8054.39,0,0,0,0,,0
9/27/21,9/30/21,Money Management,Other BaaS Products,544429.5529,0,0,0,0,,null
10/30/23,10/31/23,Money Management,Financial Accounts,1667978.84,0,0,0,0,,null
3/24/25,3/28/25,Money Management,Mass Payouts,2614.212399,0,0,0,0,,0
12/22/25,12/25/25,Money Management,Financial Accounts,1259.273256,0,0,0,0,,0
12/5/22,12/10/22,Money Management,Other BaaS Products,-8617.61,0,0,0,0,,null
5/12/25,5/18/25,Money Management,Faster Payouts,10540.39563,0,0,0,0,,0
12/12/22,12/15/22,Money Management,Other BaaS Products,-10243.58,0,0,0,0,,null
9/30/24,10/2/24,Money Management,Other BaaS Products,-18080.75,0,0,0,0,,null
1/30/23,2/5/23,Money Management,Other BaaS Products,-6658.6,0,0,0,0,,null
12/18/23,12/23/23,Money Management,Other BaaS Products,-3612.64,0,0,0,0,,null
11/18/24,11/18/24,Money Management,Mass Payouts,559.5,0,0,0,0,,null
3/27/23,3/27/23,Money Management,Other BaaS Products,-4105.95,0,0,0,0,,null
12/30/24,12/31/24,Money Management,Financial Accounts,1997034.05,0,0,0,0,,null
6/26/23,6/27/23,Money Management,Other BaaS Products,-8126.07,0,0,0,0,,null
6/26/23,6/28/23,Money Management,Other BaaS Products,-8463.2,0,0,0,0,,null
2/26/24,2/28/24,Money Management,Other BaaS Products,-7842.45,0,0,0,0,,null
8/25/25,8/30/25,Money Management,Financial Accounts,10381.94422,0,0,0,0,,0
4/24/23,4/25/23,Money Management,Other BaaS Products,-6561.53,0,0,0,0,,null
5/27/24,5/29/24,Money Management,Other BaaS Products,-7960,0,0,0,0,,null
7/7/25,7/8/25,Money Management,Mass Payouts,2289.557459,0,0,0,0,,0
12/20/21,12/22/21,Money Management,Other BaaS Products,-451.9,0,0,0,0,,null
8/5/24,8/5/24,Money Management,Mass Payouts,95.25,0,0,0,0,,null
10/21/24,10/23/24,Money Management,Mass Payouts,83.75,0,0,0,0,,null
2/23/26,2/28/26,Money Management,Bridge,5022686.031,0,0,0,0,,5157846
11/17/25,11/18/25,Money Management,Mass Payouts,1986.874223,0,0,0,0,,0
5/19/25,5/19/25,Money Management,Other BaaS Products,-2473.7,0,0,0,0,,0
2/20/23,2/24/23,Money Management,Other BaaS Products,-7797.13,0,0,0,0,,null
3/20/23,3/20/23,Money Management,Other BaaS Products,-3687.8,0,0,0,0,,null
1/13/25,1/16/25,Money Management,Other BaaS Products,-7097.86,0,0,0,0,,0
