reporting_week,[DROPPED] rtbr_week,reporting_date,product_pillar,product_grouping,estimated_TMBL_based_on_budget,estimated_TMBL_based_on_reforecast_2_plus_10,estimated_TMBL_based_on_reforecast_5_plus_7,estimated_TMBL_based_on_reforecast_8_plus_4,tmbl_actuals
5/6/24,,5/12/24,BaaS,issuing,192079.2686,201771.143,198274.9174,198274.9174,148798.1278
11/20/23,,11/23/23,BaaS,issuing,305537.8627,305537.8627,191883.6513,197133.5124,0
8/5/24,,8/10/24,BaaS,issuing,175117.1508,182307.1041,211363.1467,211363.1467,219452.5332
4/10/23,,4/10/23,BaaS,issuing,212365.8132,212365.8132,153885.7527,153885.7527,0
9/21/26,,9/21/26,BaaS,issuing,333423.3196,,,,
11/30/26,,12/1/26,BaaS,issuing,416374.1442,,,,
12/18/23,,12/23/23,BaaS,issuing,274772.8221,274772.8221,169661.0969,169979.4212,0
12/21/26,,12/25/26,BaaS,issuing,382278.3619,,,,
5/1/23,,5/2/23,BaaS,issuing,259198.8558,259198.8558,153949.9922,153949.9922,0
11/2/26,,11/4/26,BaaS,issuing,398622.0735,,,,
5/18/26,,5/21/26,BaaS,issuing,286957.5326,,,,
5/20/24,,5/23/24,BaaS,issuing,167223.2898,184852.6297,189237.7744,189237.7744,210981.6885
6/12/23,,6/18/23,BaaS,issuing,205264.5685,205264.5685,141464.8445,132571.4435,0
9/1/25,,9/7/25,BaaS,issuing,267633.6456,270147.4903,275715.9425,263185.3823,191635.9323
12/16/24,,12/17/24,BaaS,issuing,183424.9265,193283.987,199147.5077,220614.9469,234676.4659
8/25/25,,8/29/25,BaaS,issuing,198111.2284,221113.4304,238138.0594,226184.1987,278881.6587
12/25/23,,12/27/23,BaaS,issuing,278653.0294,278653.0294,172056.9678,172379.7874,0
6/2/25,,6/4/25,BaaS,issuing,239907.509,235848.1052,188724.5256,216407.7236,266090.4852
1/26/26,,1/26/26,BaaS,issuing,210376.3423,,,,185011.6216
11/20/23,,11/20/23,BaaS,issuing,278693.6206,278693.6206,175024.9512,179813.5649,0
1/15/24,,1/17/24,BaaS,issuing,167927.2277,186495.7473,190747.8983,190747.8983,200347.5463
7/8/24,,7/13/24,BaaS,issuing,180591.8396,201401.7769,210433.1383,210433.1383,225844.2524
9/14/26,,9/17/26,BaaS,issuing,334774.474,,,,
11/6/23,,11/11/23,BaaS,issuing,251154.3819,251154.3819,157729.7799,162045.2045,0
7/31/23,,8/4/23,BaaS,issuing,260425.1541,260425.1541,176905.9584,246723.3555,0
10/2/23,,10/5/23,BaaS,issuing,264109.708,264109.708,169171.4145,169000.8244,0
2/5/24,,2/8/24,BaaS,issuing,196266.6458,208503.368,203118.2931,203118.2931,215937.4846
2/19/24,,2/22/24,BaaS,issuing,192528.2335,206483.9649,201547.6463,201547.6463,209998.4961
6/15/26,,6/18/26,BaaS,issuing,304200.7327,,,,
6/2/25,,6/2/25,BaaS,issuing,331673.2928,320297.6635,254008.729,291268.1891,303152.2307
8/11/25,,8/17/25,BaaS,issuing,233450.7446,244368.8504,262317.7421,249150.1293,184871.1107
8/12/24,,8/15/24,BaaS,issuing,169161.1638,183618.666,206985.9996,206985.9996,206589.412
5/5/25,,5/6/25,BaaS,issuing,229828.0804,228404.2694,280952.0275,280952.0371,298397.2574
6/12/23,,6/16/23,BaaS,issuing,249041.3722,249041.3722,171635.072,160844.9741,0
9/18/23,,9/20/23,BaaS,issuing,244228.3442,244228.3442,162827.0124,172770.3367,0
3/17/25,,3/18/25,BaaS,issuing,236476.0402,204786.7927,214090.5697,214090.581,212152.8389
5/5/25,,5/8/25,BaaS,issuing,224952.2678,225666.3002,279450.5549,279450.5644,316484.8685
9/22/25,,9/26/25,BaaS,issuing,257558.9308,260530.8487,278044.7649,265408.366,269489.2681
1/26/26,,1/28/26,BaaS,issuing,227344.7104,,,,284476.4044
11/30/26,,11/30/26,BaaS,issuing,371585.0981,,,,
6/22/26,,6/22/26,BaaS,issuing,288972.4586,,,,
12/1/25,,12/4/25,BaaS,issuing,312930.4974,356945.1573,324389.2549,295453.5914,371167.6102
6/9/25,,6/9/25,BaaS,issuing,249819.7625,244784.5664,183463.3203,210374.7744,187043.3834
3/17/25,,3/20/25,BaaS,issuing,231003.045,201252.779,212305.3797,212305.3909,224224.7762
9/9/24,,9/13/24,BaaS,issuing,173901.4381,184272.9954,218355.1052,165888.6401,210869.5266
3/18/24,,3/20/24,BaaS,issuing,188663.9227,208503.5603,190332.7725,190332.7725,202960.2751
9/16/24,,9/22/24,BaaS,issuing,211090.8512,223680.4013,233079.4861,176559.5378,146209.0812
11/30/26,,12/2/26,BaaS,issuing,584064.553,,,,
9/22/25,,9/25/25,BaaS,issuing,239870.5002,243621.5872,262574.7301,250641.4033,260226.0134
11/30/26,,12/4/26,BaaS,issuing,421824.3994,,,,
7/21/25,,7/25/25,BaaS,issuing,212909.99,216028.4898,232980.4376,236942.1644,272595.9496
5/11/26,,5/12/26,BaaS,issuing,282502.2351,,,,
3/30/26,,4/3/26,BaaS,issuing,319382.1655,,,,
2/23/26,,2/24/26,BaaS,issuing,224907.5205,,,,316404.731
11/6/23,,11/10/23,BaaS,issuing,275305.5123,275305.5123,172897.1541,177627.5521,0
10/6/25,,10/10/25,BaaS,issuing,270888.8695,277771.7958,296285.3586,265408.2342,292360.1769
