reporting_week,reporting_date,product_pillar,product_grouping,[DROPPED] daily_actual_net_revenue,estimated_fy25_2_10_forecast,estimated_fy25_5_7_forecast,estimated_fy25_8_4_forecast,estimated_fy25_budget,estimated_fy26_budget,daily_actual_gross_revenue
1/3/22,1/9/22,Money Management,Other BaaS Products,,0,0,0,0,-6093.7,null
2/6/23,2/7/23,Money Management,Financial Accounts,,0,0,0,0,13702.65,null
11/28/22,11/30/22,Money Management,Other BaaS Products,,0,0,0,0,385641.44,null
9/9/24,9/13/24,Money Management,Mass Payouts,,0,0,0,0,517.5,null
1/2/23,1/6/23,Money Management,Other BaaS Products,,0,0,0,0,-6968.1,null
5/12/25,5/16/25,Money Management,Faster Payouts,,0,0,0,0,21415.11984,0
11/8/21,11/8/21,Money Management,Other BaaS Products,,0,0,0,0,-5862.54,null
2/2/26,2/6/26,Money Management,Financial Accounts,,0,0,0,0,1694311.811,0
2/17/25,2/19/25,Money Management,Other BaaS Products,,0,0,0,0,-4382.79,0
1/26/26,1/29/26,Money Management,Other BaaS Products,,0,0,0,0,-3136.27,0
12/9/24,12/9/24,Money Management,Other BaaS Products,,0,0,0,0,-3749.31,null
10/10/22,10/16/22,Money Management,Other BaaS Products,,0,0,0,0,-6212.9,null
10/28/24,10/30/24,Money Management,Mass Payouts,,0,0,0,0,99.25,null
7/7/25,7/13/25,Money Management,Financial Accounts,,0,0,0,0,-5396.93,0
9/20/21,9/25/21,Money Management,Other BaaS Products,,0,0,0,0,-9334.67,null
8/18/25,8/21/25,Money Management,Faster Payouts,,0,0,0,0,23265.32978,0
9/12/22,9/15/22,Money Management,Other BaaS Products,,0,0,0,0,-8486.73,null
11/11/24,11/13/24,Money Management,Other BaaS Products,,0,0,0,0,-8026.68,null
2/13/23,2/13/23,Money Management,Financial Accounts,,0,0,0,0,-13702.65,null
7/15/24,7/20/24,Money Management,Other BaaS Products,,0,0,0,0,-4920.86,null
6/23/25,6/29/25,Money Management,Faster Payouts,,0,0,0,0,75360.24953,0
6/9/25,6/13/25,Money Management,Faster Payouts,,0,0,0,0,19449.22702,0
11/22/21,11/24/21,Money Management,Other BaaS Products,,0,0,0,0,-24680.4,null
9/1/25,9/3/25,Money Management,Mass Payouts,,0,0,0,0,3379.729799,0
2/27/23,3/4/23,Money Management,Other BaaS Products,,0,0,0,0,-14752.68,null
1/5/26,1/7/26,Money Management,Faster Payouts,,0,0,0,0,52370.31009,0
3/2/26,3/6/26,Money Management,Financial Accounts,,0,0,0,0,1395807.098,0
11/17/25,11/19/25,Money Management,Faster Payouts,,0,0,0,0,28450.26807,0
11/25/24,11/27/24,Money Management,Other BaaS Products,,0,0,0,0,-4525.45,null
12/29/25,12/29/25,Money Management,Faster Payouts,,0,0,0,0,93633.29801,0
3/31/25,4/3/25,Money Management,Financial Accounts,,0,0,0,0,-5835.48,0
8/19/24,8/22/24,Money Management,Other BaaS Products,,0,0,0,0,-6781.95,null
5/26/25,5/28/25,Money Management,Faster Payouts,,0,0,0,0,17855.44311,0
9/13/21,9/18/21,Money Management,Other BaaS Products,,0,0,0,0,-9274.77,null
9/5/22,9/8/22,Money Management,Financial Accounts,,0,0,0,0,-7901.79,null
12/6/21,12/10/21,Money Management,Other BaaS Products,,0,0,0,0,-13292.53,null
8/18/25,8/23/25,Money Management,Financial Accounts,,0,0,0,0,-5098.42,0
