reporting_week,reporting_date,product_pillar,product_grouping,daily_actual_gross_revenue,estimated_fy25_2_10_forecast_gross_revenue,estimated_fy25_5_7_forecast_gross_revenue,estimated_fy25_8_4_forecast_gross_revenue,estimated_fy25_budget_gross_revenue,estimated_fy26_budget_gross_revenue
7/29/24,8/2/24,Money Management,Capital,240077.3028,0,0,0,0,null
3/30/26,4/1/26,Money Management,Multicurrency Settlement,null,0,0,0,0,445283.8632
9/12/22,9/16/22,Money Management,Multicurrency Settlement,70348.85872,0,0,0,0,null
10/27/25,10/30/25,Money Management,Instant Payouts,428963.5664,0,0,0,0,339636.9655
9/5/22,9/9/22,Money Management,Multicurrency Settlement,61626.12343,0,0,0,0,null
6/2/25,6/5/25,Money Management,Instant Payouts,-355543.7307,0,0,0,0,361558.3874
6/16/25,6/18/25,Money Management,Instant Payouts,394614.7466,0,0,0,0,384406.3532
10/24/22,10/24/22,Money Management,Connect,647802.673,0,0,0,0,null
11/4/24,11/7/24,Money Management,Multicurrency Settlement,301095.6008,0,0,0,0,null
5/16/22,5/20/22,Money Management,Capital,127699.8439,0,0,0,0,null
1/26/26,1/29/26,Money Management,Connect,1304647.551,0,0,0,0,1386135.377
12/20/21,12/26/21,Money Management,Instant Payouts,98506.92154,0,0,0,0,null
6/19/23,6/25/23,Money Management,Multicurrency Settlement,81185.19888,0,0,0,0,null
7/15/24,7/17/24,Money Management,Connect,4335.844616,0,0,0,0,null
3/9/26,3/9/26,Money Management,Connect,1736865.127,0,0,0,0,1341048.58
9/27/21,9/30/21,Money Management,Connect,397867.6537,0,0,0,0,null
11/3/25,11/6/25,Money Management,Multicurrency Settlement,471194.7814,0,0,0,0,435480.3164
11/10/25,11/14/25,Money Management,Multicurrency Settlement,329251.1999,0,0,0,0,241369.9638
10/4/21,10/6/21,Money Management,Capital,45543.5,0,0,0,0,null
9/26/22,9/30/22,Money Management,Instant Payouts,245353.6613,0,0,0,0,null
9/18/23,9/21/23,Money Management,Multicurrency Settlement,234473.0846,0,0,0,0,null
6/29/26,7/2/26,Money Management,Instant Payouts,null,0,0,0,0,436112.1879
9/29/25,10/4/25,Money Management,Instant Payouts,353378.3182,0,0,0,0,402371.7273
11/10/25,11/15/25,Money Management,Multicurrency Settlement,266.602579,0,0,0,0,0
12/5/22,12/10/22,Money Management,Capital,67673.59116,0,0,0,0,null
2/28/22,3/4/22,Money Management,Instant Payouts,193721.4514,0,0,0,0,null
1/19/26,1/21/26,Money Management,Multicurrency Settlement,329813.4246,0,0,0,0,374064.2869
4/17/23,4/23/23,Money Management,Connect,281404.504,0,0,0,0,null
7/28/25,7/29/25,Money Management,Instant Payouts,385287.2495,0,0,0,0,373924.1852
1/27/25,1/28/25,Money Management,Capital,310312.37,0,0,0,0,259479.1362
3/18/24,3/18/24,Money Management,Capital,205134.0785,0,0,0,0,null
6/16/25,6/20/25,Money Management,Connect,544771.8672,0,0,0,0,596574.1287
4/27/26,4/28/26,Money Management,Capital,null,0,0,0,0,378536.0211
11/17/25,11/18/25,Money Management,Multicurrency Settlement,301162.2241,0,0,0,0,302900.7821
5/13/24,5/18/24,Money Management,Connect,19005.76932,0,0,0,0,null
2/21/22,2/25/22,Money Management,Instant Payouts,182992.7232,0,0,0,0,null
4/27/26,5/3/26,Money Management,Connect,null,0,0,0,0,1204657.982
11/2/26,11/6/26,Money Management,Connect,null,0,0,0,0,1033154.988
4/1/24,4/6/24,Money Management,Capital,103798.9865,0,0,0,0,null
